Data,IBOV,IBOVAnt
19/01/2022 11:50:10,108369.79,106667.66
19/01/2022 11:50:31,108340.28,106667.66
19/01/2022 11:50:51,108340.28,106667.66
19/01/2022 11:51:12,108365.09,106667.66
19/01/2022 11:51:33,108366.07,106667.66
19/01/2022 11:51:53,108366.07,106667.66
19/01/2022 11:52:13,108375.37,106667.66
19/01/2022 11:52:34,108373.88,106667.66
19/01/2022 11:52:55,108373.88,106667.66
19/01/2022 11:53:15,108325.65,106667.66
19/01/2022 11:53:36,108410.08,106667.66
19/01/2022 11:53:57,108410.08,106667.66
19/01/2022 11:54:17,108376.31,106667.66
19/01/2022 11:54:38,108376.31,106667.66
19/01/2022 11:54:59,108459.78,106667.66
19/01/2022 11:55:19,108482.87,106667.66
19/01/2022 11:55:40,108471.85,106667.66
19/01/2022 11:56:00,108471.85,106667.66
19/01/2022 11:56:20,108441.93,106667.66
19/01/2022 11:56:41,108465.00,106667.66
19/01/2022 11:57:02,108465.00,106667.66
19/01/2022 11:57:22,108408.65,106667.66
19/01/2022 11:57:42,108392.66,106667.66
19/01/2022 11:58:03,108392.66,106667.66
19/01/2022 11:58:23,108288.33,106667.66
19/01/2022 11:58:44,108281.46,106667.66
19/01/2022 11:59:05,108281.46,106667.66
19/01/2022 11:59:25,108312.02,106667.66
19/01/2022 11:59:46,108312.66,106667.66
19/01/2022 12:00:06,108326.57,106667.66
19/01/2022 12:00:26,108326.57,106667.66
19/01/2022 12:00:47,108323.43,106667.66
19/01/2022 12:01:07,108329.89,106667.66
19/01/2022 12:01:28,108329.89,106667.66
19/01/2022 12:01:48,108392.08,106667.66
19/01/2022 12:02:09,108351.54,106667.66
19/01/2022 12:02:29,108351.54,106667.66
19/01/2022 12:02:50,108345.67,106667.66
19/01/2022 12:03:10,108320.50,106667.66
19/01/2022 12:03:30,108320.50,106667.66
19/01/2022 12:03:51,108320.50,106667.66
19/01/2022 12:04:12,108324.90,106667.66
19/01/2022 12:04:32,108265.12,106667.66
19/01/2022 12:04:53,108265.12,106667.66
19/01/2022 12:05:13,108269.16,106667.66
19/01/2022 12:05:33,108260.78,106667.66
19/01/2022 12:05:54,108260.78,106667.66
19/01/2022 12:06:14,108309.35,106667.66
19/01/2022 12:06:35,108298.27,106667.66
19/01/2022 12:06:55,108298.27,106667.66
19/01/2022 12:07:16,108307.41,106667.66
19/01/2022 12:07:36,108295.59,106667.66
19/01/2022 12:07:56,108295.59,106667.66
19/01/2022 12:08:17,108275.40,106667.66
19/01/2022 12:08:37,108339.12,106667.66
19/01/2022 12:08:58,108339.12,106667.66
19/01/2022 12:09:18,108344.10,106667.66
19/01/2022 12:09:39,108396.59,106667.66
19/01/2022 12:09:59,108396.59,106667.66
19/01/2022 12:10:19,108368.64,106667.66
19/01/2022 12:10:40,108394.78,106667.66
19/01/2022 12:11:00,108371.64,106667.66
19/01/2022 12:11:21,108371.64,106667.66
19/01/2022 12:11:42,108334.63,106667.66
19/01/2022 12:12:02,108333.65,106667.66
19/01/2022 12:12:23,108333.65,106667.66
19/01/2022 12:12:43,108348.36,106667.66
19/01/2022 12:13:03,108365.59,106667.66
19/01/2022 12:13:25,108365.59,106667.66
19/01/2022 12:13:45,108330.27,106667.66
19/01/2022 12:14:06,108308.51,106667.66
19/01/2022 12:14:26,108308.51,106667.66
19/01/2022 12:14:47,108389.25,106667.66
19/01/2022 12:15:07,108404.65,106667.66
